1.881	 11.334
6.386	 12.086
9.663	 14.421
8.189	 15.779
14.337	 16.866
19.084	 21.061
19.013	 21.103
27.911	 32.009
29.882	 32.756
40.591	 43.087
40.508	 44.693
45.720	 48.333
46.484	 49.836
51.398	 54.028
52.345	 55.461
52.925	 60.089
59.631	 61.394
64.508	 66.905
76.082	 78.057
79.242	 81.920
82.628	 84.645
85.232	 86.170
86.153	 89.995
93.459	 95.416
95.399	 97.378
99.890	 100.976
101.954	 104.792
102.422	 109.336
109.051	 112.645
109.804	 115.203
109.364	 115.241
111.864	 116.117
110.628	 116.295
110.516	 118.771
119.189	 121.022
120.489	 123.217
122.987	 125.653
121.213	 126.853
123.384	 127.402
129.689	 133.402
131.263	 135.421
137.677	 139.440
136.319	 141.506
145.389	 148.669
147.347	 151.117
153.021	 156.238
157.994	 163.395
161.139	 166.847
166.418	 171.658
167.242	 173.190
175.672	 176.200
176.269	 179.766
176.797	 182.027
185.016	 185.817
186.191	 188.663
187.991	 193.491
192.050	 195.475
188.187	 196.109
195.129	 196.275
189.512	 197.883
195.465	 200.286
200.632	 201.599
201.007	 202.702
201.112	 203.417
200.204	 203.822
216.552	 225.035
223.762	 230.984
227.523	 231.423
228.829	 234.807
231.996	 236.593
228.853	 237.074
233.805	 237.994
243.045	 246.991
247.007	 252.476
249.134	 254.140
250.481	 255.608
248.148	 256.756
251.469	 257.771
252.101	 258.526
258.024	 262.045
258.638	 263.072
268.622	 271.834
275.575	 280.266
282.062	 284.034
288.202	 292.416
288.591	 293.451
292.772	 294.613
290.216	 295.470
295.595	 296.213
294.900	 296.752
297.271	 299.832
297.920	 302.153
298.381	 302.631
301.182	 302.896
301.383	 304.824
303.549	 307.392
303.494	 307.469
306.821	 309.616
306.079	 312.551
313.679	 315.460
315.113	 319.107
318.436	 323.419
320.441	 325.174
325.223	 328.509
330.849	 333.678
331.620	 337.882
337.608	 339.571
340.591	 343.038
342.099	 347.008
341.799	 347.597
345.874	 348.108
346.399	 348.498
343.047	 349.457
348.715	 351.719
353.634	 356.025
353.087	 356.537
353.859	 356.711
357.934	 358.992
354.596	 359.191
364.293	 367.352
370.580	 371.999
375.556	 380.541
377.616	 382.381
384.866	 387.317
385.796	 388.332
386.488	 392.604
394.106	 396.973
397.790	 399.073
398.272	 400.508
400.543	 404.481
405.577	 412.941
406.898	 413.358
407.488	 418.358
413.568	 418.876
419.927	 422.368
420.804	 422.862
420.447	 424.803
423.396	 426.085
425.039	 429.276
